name,fluentd.limits.cpu,fluentd.limits.memory,fluentd.requests.cpu,fluentd.requests.memory,memcached.limits.cpu,memcached.limits.memory,memcached.requests.cpu,memcached.requests.memory,mysql.limits.cpu,mysql.limits.memory,mysql.requests.cpu,mysql.requests.memory,nfsServer.limits.cpu,nfsServer.limits.memory,nfsServer.requests.cpu,nfsServer.requests.memory,nginx.limits.cpu,nginx.limits.memory,nginx.requests.cpu,nginx.requests.memory,php.limits.cpu,php.limits.memory,php.requests.cpu,php.requests.memory,sftp.limits.cpu,sftp.limits.memory,sftp.requests.cpu,sftp.requests.memory,sftpAuth.limits.cpu,sftpAuth.limits.memory,sftpAuth.requests.cpu,sftpAuth.requests.memory,storage.limits.cpu,storage.limits.memory,storage.requests.cpu,storage.requests.memory,telegraf.limits.cpu,telegraf.limits.memory,telegraf.requests.cpu,telegraf.requests.memory,varnish.limits.cpu,varnish.limits.memory,varnish.requests.cpu,varnish.requests.memory,wpenginex.limits.cpu,wpenginex.limits.memory,wpenginex.requests.cpu,wpenginex.requests.memory
p10-dense-v0,N/A,N/A,N/A,N/A,4000m,11100Mi,3500m,1500Mi,6000m,89644Mi,3000m,26000Mi,500m,198Mi,100m,198Mi,11000m,30000Mi,4000m,6946Mi,29000m,32000Mi,28000m,10100Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,26500Mi,100m,6500Mi,1500m,1500Mi,100m,256Mi
p5-dense-v0,N/A,N/A,N/A,N/A,2000m,4777Mi,1000m,500Mi,3000m,37199Mi,1500m,11151Mi,500m,198Mi,100m,198Mi,6250m,11000Mi,3200m,1946Mi,10500m,12000Mi,10500m,4000Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,6632Mi,100m,1658Mi,1250m,1260Mi,100m,256Mi
p1.5-php-v0,N/A,N/A,N/A,N/A,1000m,1229Mi,100m,144Mi,1500m,7500Mi,100m,3002Mi,500m,198Mi,100m,198Mi,2200m,4558Mi,100m,1805Mi,5300m,7221Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,812Mi,500m,512Mi,100m,105Mi
p8-db-v0,N/A,N/A,N/A,N/A,4000m,8700Mi,2500m,1500Mi,12000m,91000Mi,2500m,27000Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,2200m,1946Mi,21000m,24000Mi,21000m,7700Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,18500Mi,100m,4500Mi,1500m,1500Mi,100m,256Mi
p0,N/A,N/A,N/A,N/A,1000m,579Mi,100m,144Mi,1000m,3147Mi,100m,1718Mi,500m,99Mi,100m,99Mi,3000m,6144Mi,100m,1607Mi,1600m,5530Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,2429Mi,100m,719Mi,1000m,512Mi,100m,105Mi
p4-db-v0,N/A,N/A,N/A,N/A,1000m,3254Mi,100m,186Mi,6000m,29821Mi,100m,7318Mi,500m,198Mi,100m,198Mi,2500m,6144Mi,100m,1946Mi,7000m,8000Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,3555Mi,100m,1241Mi,1000m,512Mi,100m,256Mi
p9-php-v0,N/A,N/A,N/A,N/A,4000m,9900Mi,3000m,1500Mi,6500m,95000Mi,2750m,27000Mi,500m,198Mi,100m,198Mi,3000m,6144Mi,3000m,1946Mi,29500m,32000Mi,25500m,8900Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,1000m,22500Mi,100m,5500Mi,1500m,1500Mi,100m,256Mi
p1.5-db-v0,N/A,N/A,N/A,N/A,1000m,1229Mi,100m,144Mi,3300m,9598Mi,100m,3002Mi,500m,198Mi,100m,198Mi,2200m,4558Mi,100m,1805Mi,3500m,5538Mi,100m,2231Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,812Mi,500m,512Mi,100m,105Mi
p0-dense-v0,N/A,N/A,N/A,N/A,1000m,579Mi,100m,144Mi,1000m,2647Mi,100m,1718Mi,500m,99Mi,100m,99Mi,3000m,6644Mi,100m,1607Mi,2600m,5530Mi,100m,2330Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,500m,2429Mi,100m,719Mi,500m,512Mi,100m,105Mi
p6-dense-xl-v0,N/A,N/A,N/A,N/A,3000m,6299Mi,1500m,1000Mi,4000m,45121Mi,2000m,14871Mi,500m,198Mi,100m,198Mi,4000m,38147Mi,3200m,18000Mi,14000m,16000Mi,14000m,5333Mi,500m,1024Mi,500m,256Mi,150m,32Mi,150m,8Mi,N/A,N/A,N/A,N/A,500m,1024Mi,100m,64Mi,2000m,10430Mi,100m,2608Mi,3000m,2000Mi,100m,256Mi
